UMAP_1,UMAP_2
6.36679,4.0194554
0.21924093,0.12683924
0.10333556,1.2736051
0.26418304,2.3876739
3.1538699,4.2092276
10.643799,1.1917106
6.874505,4.1896043
3.0044396,4.0781293
3.3084502,4.564123
3.6138961,4.5741634
10.856352,0.78179175
0.5053516,1.7980536
3.567851,4.0726733
2.9247553,3.7805645
8.9161,3.8342507
8.151689,4.030534
0.19964832,0.6038516
11.19808,2.316046
11.077533,0.20127568
0.95000684,2.6990712
10.415923,0.5708746
0.0035126524,1.4554132
1.530332,4.171725
2.6190035,3.811693
10.6502,2.9258244
2.7071688,3.8577015
2.9130445,3.7079215
0.658115,1.7400881
10.304899,1.6456654
2.6666706,3.6122293
0.099421225,2.3440917
7.1043367,4.172016
1.1405202,0.7054746
0.9644406,0.6480462
10.556254,0.73093617
10.101689,1.2320708
6.7473483,3.3493054
0.18683696,1.3378319
0.70324695,0.47575328
11.349217,2.1680791
2.896342,3.1471908
3.4410818,3.292927
2.9704623,3.1984935
2.0908062,4.009139
0.13061923,1.2382585
10.287654,0.942882
3.3987668,3.9596312
10.367436,1.7829142
0.1422484,0.8881085
0.3318139,1.3327347
1.1658775,0.6420435
10.671714,0.19379227
10.340566,1.0098736
3.461383,4.6908417
3.713823,4.7451444
2.8911304,3.4242623
0.013323208,0.93922544
-0.42940712,1.9111845
10.827956,0.6781697
0.25820494,1.4192333
7.461524,3.370546
3.031576,3.510053
11.229023,2.0184321
11.254098,0.78974324
10.312399,0.7996997
7.733337,4.1105714
0.38505688,0.8005031
2.0575354,4.066213
10.591814,0.88739663
0.3662809,1.1812954
10.63791,1.032403
0.83120686,1.6664492
1.0356658,0.7392118
6.443802,4.345872
-0.53910005,2.3790436
2.8344562,4.6182256
0.18121825,1.9140416
0.90918285,1.6251863
3.450465,3.8356078
10.571914,1.0403105
8.182449,3.7627
0.16755413,1.7332736
0.8563973,0.7120943
2.3030698,3.0868633
8.394146,3.3370447
3.0842865,3.510849
3.0594304,3.4144502
11.005139,1.676778
10.990159,0.2165711
3.494129,4.5620255
3.7056034,3.6972022
1.8471215,3.7935827
3.4045763,3.8732605
10.340643,2.4814599
3.3160727,4.4561925
2.3013098,3.08672
11.3701515,0.3524999
10.347069,1.6021959
2.5452926,3.7170405
10.825319,0.16758576
1.1917233,0.9259659
3.4690177,4.355982
2.9121149,3.8400228
10.442516,2.644032
3.4567888,3.4972734
6.4827957,4.4690204
2.3612924,3.6704872
3.8832824,3.9298828
7.3055434,4.219391
10.962143,0.3811451
7.5179877,4.4110303
0.3887483,0.34188968
10.938096,2.363068
3.3009121,4.547653
0.5117003,0.020725768
2.630814,3.7550278
3.0917842,4.139907
0.32174116,0.199727
1.467233,3.8220205
0.6523723,0.95701045
10.449076,1.3883597
2.1001298,3.9927154
10.762434,1.4312752
7.0776606,3.8612907
1.8782982,3.4694152
11.287748,2.016341
0.39152193,0.26809317
10.703222,1.2818244
8.293867,4.1116443
8.979324,3.7800784
10.214112,0.96971005
2.0648007,3.7035952
9.96266,1.2775462
0.65042984,1.7845241
0.007137642,1.3384217
0.86768675,0.51314896
0.94786555,0.64075124
10.772054,1.7537624
8.368226,3.5578234
3.8737257,3.6389399
7.517074,3.115021
11.142192,1.0469167
1.0467554,1.4502866
2.2492495,4.1081195
10.725224,2.6424584
7.868377,3.1090043
10.342973,0.96271443
0.29248062,1.6632152
7.965314,3.546136
-0.013063918,1.3311192
3.3389542,4.53917
8.438541,4.3850574
3.0666747,4.55552
7.431454,2.9735308
2.2007668,3.793314
2.3465214,3.967823
8.308776,2.930025
11.128369,1.9150039
7.51945,3.3007724
3.3959334,4.107831
10.306095,2.8143427
0.928461,1.290058
0.67269087,0.38407558
0.48530623,1.5872111
7.981437,4.0273285
10.650429,2.1958663
7.4562435,3.1189928
3.4195955,4.156247
3.5142512,4.513278
2.134535,3.6364152
10.092449,1.2306097
3.1713145,4.2659893
3.0118084,3.4234002
1.8381368,4.103717
10.147352,2.5547903
1.5700407,3.4556336
10.257229,0.9744191
0.56430876,1.5015751
9.912822,1.3937479
0.53965163,1.6714926
0.2906611,0.9370707
-0.4650744,2.4286177
8.79374,3.75719
6.4296904,3.758848
1.7536947,3.0575829
11.212463,0.84901285
6.9086456,3.209873
2.2083547,3.4467306
11.19563,2.1006324
-0.12499375,1.5434663
10.35408,2.752101
10.031054,1.3457717
3.5088494,4.452561
10.603714,1.0690784
10.487806,0.5606905
6.1897073,4.441368
0.63641804,0.17062296
10.071727,1.1674442
-0.058380198,1.6594385
11.194604,0.6852089
7.7883673,3.4505258
3.1812239,4.0336847
11.202876,0.20252652
7.82964,4.2085443
7.3723564,3.285287
6.8222585,4.406944
6.5090356,4.126337
0.93487805,1.0829278
4.1484327,4.671939
-0.16872229,1.5387951
-0.4305593,2.4407966
7.44098,3.0059738
0.017921448,1.155416
-0.042809494,1.227005
11.279587,0.85394657
0.8431528,0.5935715
3.2907703,4.528731
3.7226522,4.479989
10.232318,2.7535813
11.175536,0.45952612
7.2563624,3.4395046
0.9311634,1.3816683
10.40712,1.0184556
10.6212,0.7021043
11.201665,0.989823
